start_time,end_time,1.0-8.0A_peak_time,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_peak_val,10-15keV_peak_time,10-15keV_peak_val,15-25keV_peak_time,15-25keV_peak_val,25-50keV_peak_time,25-50keV_peak_val,50-84keV_peak_time,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2022-08-19 10:18:00.000,2022-08-19 10:33:00.000,2022-08-19 10:29:49,3.3640908e-06,2022-08-19 10:26:27.419000,4863,2022-08-19 10:26:27.419000,607,2022-08-19 10:26:19.419000,107,2022-08-19 10:07:07.417000,0,2022-08-19 10:07:07.417000,0,303.0,45.0,61.0,735.0,399.0
2022-08-19 20:09:00.000,2022-08-19 20:20:00.000,2022-08-19 20:16:21,2.1171647e-06,2022-08-19 20:15:20.929000,5375,2022-08-19 20:15:20.929000,495,2022-08-19 20:15:20.929000,123,2022-08-19 19:47:08.926000,0,2022-08-19 19:47:08.926000,0,231.0,45.0,57.0,735.0,399.0
2022-08-21 04:48:00.000,2022-08-21 05:10:00.000,2022-08-21 04:59:53,3.1406057e-06,2022-08-21 04:57:57.833000,8703,2022-08-21 04:57:53.833000,495,2022-08-21 04:56:25.833000,167,2022-08-21 04:39:13.831000,0,2022-08-21 04:39:13.831000,0,231.0,45.0,57.0,735.0,399.0
2022-08-25 18:45:00.000,2022-08-25 19:03:00.000,2022-08-25 18:58:32,7.5028133e-06,2022-08-25 18:56:39.592000,23551,2022-08-25 18:54:43.592000,2943,2022-08-25 18:54:43.592000,463,2022-08-25 18:08:51.587000,0,2022-08-25 18:08:51.587000,0,231.0,45.0,61.0,735.0,399.0
2022-08-26 02:13:00.000,2022-08-26 02:42:00.000,2022-08-26 02:35:16,2.6108446e-06,2022-08-26 02:32:00.705000,3199,2022-08-26 02:31:40.705000,271,2022-08-26 02:10:00.703000,99,2022-08-26 01:52:52.702000,0,2022-08-26 01:52:52.702000,0,335.0,45.0,61.0,735.0,399.0
2022-08-26 07:48:00.000,2022-08-26 07:56:00.000,2022-08-26 07:51:49,3.6327328e-06,2022-08-26 07:50:37.691000,8703,2022-08-26 07:50:25.691000,1215,2022-08-26 07:50:25.691000,231,2022-08-26 07:40:53.690000,0,2022-08-26 07:40:53.690000,0,367.0,45.0,61.0,735.0,399.0
2022-08-26 12:24:00.000,2022-08-26 12:38:00.000,2022-08-26 12:31:41,5.4554668e-05,2022-08-26 12:31:18.409000,1215,2022-08-26 12:31:18.409000,115,2022-08-26 12:15:54.407000,83,2022-08-26 12:11:34.407000,0,2022-08-26 12:11:34.407000,0,367.0,45.0,61.0,735.0,399.0
2022-08-27 00:41:00.000,2022-08-27 00:57:00.000,2022-08-27 00:49:55,3.6775618e-06,2022-08-27 00:49:36.506000,17407,2022-08-27 00:49:32.506000,2687,2022-08-27 00:49:28.506000,671,2022-08-27 00:26:16.503000,0,2022-08-27 00:26:16.503000,0,271.0,45.0,61.0,735.0,399.0
2022-08-27 12:41:00.000,2022-08-27 12:52:00.000,2022-08-27 12:48:26,9.324407e-06,2022-08-27 12:48:10.673000,86015,2022-08-27 12:48:02.673000,7935,2022-08-27 12:47:54.673000,671,2022-08-27 12:40:58.672000,0,2022-08-27 12:40:58.672000,0,247.0,45.0,61.0,735.0,399.0
2022-08-27 14:54:00.000,2022-08-27 15:03:00.000,2022-08-27 14:59:33,5.7590905e-06,2022-08-27 14:59:23.076000,19455,2022-08-27 14:59:15.076000,2175,2022-08-27 14:58:59.076000,543,2022-08-27 14:36:59.074000,0,2022-08-27 14:36:59.074000,0,247.0,45.0,61.0,735.0,399.0
2022-08-27 15:13:00.000,2022-08-27 15:30:00.000,2022-08-27 15:25:12,1.1483467e-05,2022-08-27 15:24:35.134000,110591,2022-08-27 15:24:31.134000,17407,2022-08-27 15:24:31.134000,2431,2022-08-27 14:36:59.129000,0,2022-08-27 14:36:59.129000,0,247.0,45.0,61.0,735.0,399.0
2022-08-27 20:38:00.000,2022-08-27 20:51:00.000,2022-08-27 20:45:01,4.763973e-06,2022-08-27 20:41:44.122000,34815,2022-08-27 20:41:44.122000,7935,2022-08-27 20:41:44.122000,1343,2022-08-27 20:25:00.120000,0,2022-08-27 20:25:00.120000,0,247.0,45.0,61.0,735.0,399.0
2022-08-28 05:44:00.000,2022-08-28 05:59:00.000,2022-08-28 05:52:39,3.1252537e-06,2022-08-28 05:32:01.790000,10751,2022-08-28 05:35:33.790000,991,2022-08-28 05:35:29.790000,335,2022-08-28 05:26:21.789000,0,2022-08-28 05:26:21.789000,0,247.0,45.0,61.0,735.0,399.0
2022-08-28 06:50:00.000,2022-08-28 06:59:00.000,2022-08-28 06:53:27,3.3904244e-06,2022-08-28 06:52:37.994000,12799,2022-08-28 06:52:05.994000,1215,2022-08-28 06:52:05.994000,167,2022-08-28 06:43:41.993000,0,2022-08-28 06:43:41.993000,0,247.0,45.0,61.0,735.0,399.0
2022-09-03 06:43:00.000,2022-09-03 06:56:00.000,2022-09-03 06:52:52,1.3341502e-06,2022-09-03 06:51:12.958000,2943,2022-09-03 06:50:48.958000,215,2022-09-03 06:26:52.956000,83,2022-09-03 06:24:48.955000,0,2022-09-03 06:24:48.955000,0,247.0,45.0,61.0,735.0,399.0
2022-09-04 11:22:00.000,2022-09-04 11:41:00.000,2022-09-04 11:32:51,3.4223485e-06,2022-09-04 11:27:43.786000,6911,2022-09-04 11:26:47.786000,927,2022-09-04 11:26:51.786000,335,2022-09-04 11:04:15.783000,0,2022-09-04 11:04:15.783000,0,247.0,45.0,61.0,735.0,399.0
2022-09-04 13:47:00.000,2022-09-04 14:02:00.000,2022-09-04 13:55:17,2.6860191e-06,2022-09-04 13:53:44.277000,7935,2022-09-04 13:53:16.277000,1343,2022-09-04 13:53:20.277000,399,2022-09-04 13:38:56.276000,0,2022-09-04 13:38:56.276000,0,271.0,45.0,53.0,735.0,367.0
2022-09-04 16:18:00.000,2022-09-04 16:28:00.000,2022-09-04 16:23:14,2.6972136e-06,2022-09-04 16:22:36.788000,7935,2022-09-04 16:22:04.788000,1599,2022-09-04 16:22:04.788000,495,2022-09-04 16:13:36.787000,0,2022-09-04 16:13:36.787000,0,303.0,45.0,53.0,735.0,367.0
2022-09-04 20:44:00.000,2022-09-04 20:56:00.000,2022-09-04 20:51:46,2.6098503e-06,2022-09-04 20:50:53.694000,10751,2022-09-04 20:49:41.693000,1215,2022-09-04 20:49:41.693000,303,2022-09-04 20:46:01.693000,863,2022-09-04 20:44:17.693000,0,303.0,45.0,53.0,735.0,367.0
2022-09-05 07:55:00.000,2022-09-05 08:16:00.000,2022-09-05 08:10:15,4.1539406e-06,2022-09-05 08:07:55.993000,14847,2022-09-05 08:07:47.993000,1855,2022-09-05 08:07:47.993000,607,2022-09-05 07:41:39.990000,0,2022-09-05 07:41:39.990000,0,303.0,45.0,53.0,735.0,367.0
