goes_start_time,goes_end_time,stix_start_time,stix_end_time
2023-03-29 23:35:00.000,2023-03-29 23:58:00.000,2023-03-29T23:32:48.189,2023-03-30T00:43:00.196
2023-03-30 07:24:00.000,2023-03-30 07:43:00.000,2023-03-30T07:22:00.239,2023-03-30T08:36:24.247
2023-04-08 01:38:00.000,2023-04-08 01:50:00.000,2023-04-08T01:18:32.006,2023-04-08T01:43:08.008
2023-04-11 09:51:00.000,2023-04-11 10:23:00.000,2023-04-11T09:37:36.431,2023-04-11T09:56:56.433
2023-04-14 16:10:00.000,2023-04-14 16:25:00.000,2023-04-14T16:04:56.744,2023-04-14T16:20:48.746
2023-04-21 17:44:00.000,2023-04-21 18:44:00.000,2023-04-21T17:44:28.840,2023-04-21T18:07:40.843
2023-04-27 11:04:00.000,2023-04-27 11:23:00.000,2023-04-27T11:17:28.919,2023-04-27T11:23:08.920
2023-05-01 00:55:00.000,2023-05-01 01:29:00.000,2023-05-01T01:13:52.070,2023-05-01T01:57:16.075
2023-05-01 13:02:00.000,2023-05-01 13:13:00.000,2023-05-01T13:01:28.145,2023-05-01T14:14:12.153
2023-05-03 09:15:00.000,2023-05-03 09:33:00.000,2023-05-03T09:15:12.126,2023-05-03T09:57:32.131
2023-05-03 12:24:00.000,2023-05-03 12:41:00.000,2023-05-03T12:10:36.145,2023-05-03T13:02:32.151
2023-05-09 03:42:00.000,2023-05-09 04:05:00.000,2023-05-09T03:51:31.979,2023-05-09T04:34:07.984
2023-05-09 05:55:00.000,2023-05-09 06:28:00.000,2023-05-09T05:47:47.991,2023-05-09T06:02:07.993
2023-05-09 10:00:00.000,2023-05-09 10:33:00.000,2023-05-09T09:57:00.016,2023-05-09T10:41:59.921
2023-05-09 18:20:00.000,2023-05-09 19:24:00.000,2023-05-09T18:03:51.966,2023-05-09T18:50:47.971
